policy,k,bmax,total_waves,wave_index,measurement_phase,start_request,stop_request,wave_batch_size,is_full_wave,is_partial_wave,prompt_tokens,generated_tokens,prefill_wall_seconds,decode_wall_seconds,e2e_wall_seconds,prefill_prompt_tokens_per_second,decode_tokens_per_second,e2e_total_tokens_per_second,prefill_expert_h2d_fetches,decode_expert_h2d_fetches
stream2,0,60,4,0,warmup,0,60,60,True,False,245760,7680,11.718450443004258,165.68134743301198,177.39979787601624,20972.056091828686,46.35404116993414,1428.6374789284025,6126,660759
stream2,0,60,4,1,steady_state,60,120,60,True,False,245760,7680,10.887150783033576,170.01607497700024,180.90322576003382,22573.399128722445,45.17219916433755,1400.9700431554793,6143,665521
stream2,0,60,4,2,steady_state,120,180,60,True,False,245760,7680,10.93868773104623,202.01778468000703,212.95647241105326,22467.04596041104,38.01645489858726,1190.1023581514091,6115,673721
stream2,0,60,4,3,steady_state,180,200,20,False,True,81920,2560,9.540500368981156,124.8949423499871,134.43544271896826,8586.551735414729,20.497227124107514,628.4057112572757,6141,488402
permanent_k,2,59,4,0,warmup,0,59,59,True,False,241664,7552,11.508531501982361,162.5756221540505,174.08415365603287,20998.68258242792,46.452228814748196,1431.5834885949337,6030,648101
permanent_k,2,59,4,1,steady_state,59,118,59,True,False,241664,7552,10.607052892970387,164.38128601800418,174.98833891097456,22783.331283297175,45.941969325953885,1424.1863289346886,6047,651557
permanent_k,2,59,4,2,steady_state,118,177,59,True,False,241664,7552,10.714419807016384,163.32409328600625,174.03851309302263,22555.024383284413,46.239350533391644,1431.958912834399,6019,648630
permanent_k,2,59,4,3,steady_state,177,200,23,False,True,94208,2944,5.938854606007226,130.61147036094917,136.5503249669564,15862.991477297226,22.54013366409671,711.473956751913,6045,520627
permanent_k,4,57,4,0,warmup,0,57,57,True,False,233472,7296,11.131011712015606,159.12666935502784,170.25768106704345,20974.912796828135,45.85026526082739,1414.1388423186104,5934,632073
permanent_k,4,57,4,1,steady_state,57,114,57,True,False,233472,7296,10.155156093009282,160.23831740097376,170.39347349398304,22990.48856183708,45.53218055668165,1413.0118663758683,5951,634346
permanent_k,4,57,4,2,steady_state,114,171,57,True,False,233472,7296,10.176224566006567,161.07793001900427,171.25415458501084,22942.889918124212,45.294845787620964,1405.9104176680419,5923,636026
permanent_k,4,57,4,3,steady_state,171,200,29,False,True,118784,3712,6.413811949023511,136.78003105398966,143.19384300301317,18520.03160430742,27.138464375218657,855.4557754094383,5949,545343
permanent_k,8,54,4,0,warmup,0,54,54,True,False,221184,6912,10.676118584990036,156.43203865597025,167.10815724096028,20717.6417383534,44.18532200555837,1364.960297366566,5742,601952
permanent_k,8,54,4,1,steady_state,54,108,54,True,False,221184,6912,10.538835384009872,157.07326335500693,167.6120987390168,20987.518254207967,44.00494299515469,1360.8564161896252,5759,603300
permanent_k,8,54,4,2,steady_state,108,162,54,True,False,221184,6912,9.765179871988948,156.25944098003674,166.0246208520257,22650.27402459406,44.234127273519796,1373.8685191956995,5731,600317
permanent_k,8,54,4,3,steady_state,162,200,38,False,True,155648,4864,7.153878937009722,145.6535684230039,152.8074473600136,21757.14760768092,33.394307140310346,1050.4200074871646,5759,566086
permanent_k,16,48,5,0,warmup,0,48,48,True,False,196608,6144,9.762679035018664,145.12641055497807,154.88908958999673,20138.73438784256,42.33550582905429,1309.0140857351544,5358,540097
permanent_k,16,48,5,1,steady_state,48,96,48,True,False,196608,6144,9.024151061021257,139.188283786003,148.21243484702427,21786.869332144135,44.14164635757834,1367.982384266665,5375,511458
permanent_k,16,48,5,2,steady_state,96,144,48,True,False,196608,6144,8.598247205954976,151.57295587396948,160.17120307992445,22866.05575422781,40.53493556666295,1265.8455209256808,5350,560223
permanent_k,16,48,5,3,steady_state,144,192,48,True,False,196608,6144,8.68461387802381,150.93747383501614,159.62208771303995,22638.65760313322,40.705597118418495,1270.2001515260013,5328,547018
permanent_k,16,48,5,4,steady_state,192,200,8,False,True,32768,1024,4.5080520960036665,70.11722314200597,74.62527523800964,7268.771367803943,14.604115139102536,452.8224504663319,5352,227759
permanent_k,32,37,6,0,warmup,0,37,37,True,False,151552,4736,8.879932463984005,191.81290121999336,200.69283368397737,17066.796466603508,24.690727108956054,778.7423054980637,4585,410909
permanent_k,32,37,6,1,steady_state,37,74,37,True,False,151552,4736,7.510117903992068,123.89140240597771,131.40152030996978,20179.709817796764,38.22702712235574,1189.3926313129728,4590,374890
permanent_k,32,37,6,2,steady_state,74,111,37,True,False,151552,4736,6.985023853951134,130.74178430403117,137.7268081579823,21696.70471694573,36.224073468255206,1134.768184133961,4607,420865
permanent_k,32,37,6,3,steady_state,111,148,37,True,False,151552,4736,6.958740212023258,129.2715736500104,136.23031386203365,21778.654667715517,36.63605127003588,1147.2336484395069,4577,409607
permanent_k,32,37,6,4,steady_state,148,185,37,True,False,151552,4736,6.966045743029099,131.33426754298853,138.30031328601763,21755.81464587103,36.06065719633914,1130.0625160319212,4556,416630
permanent_k,32,37,6,5,steady_state,185,200,15,False,True,61440,1920,4.258625178015791,87.52145504998043,91.78008022799622,14427.191272237433,21.93747806070586,690.3458772601173,4595,241125
