policy,k,batch_size,layer_id,accesses,hits,misses,fetches,compulsory_loads,refetches,evictions,hit_rate,h2d_bytes,h2d_reduction_vs_stream2
permanent_k,1,50,12,702847,6630,696217,696217,127,696090,0,0.009433062956802832,6570327932928,0.009433062956802796
permanent_k,1,50,13,691573,6649,684924,684924,127,684797,0,0.00961431403481628,6463753814016,0.009614314034816274
permanent_k,1,50,14,696640,6656,689984,689984,127,689857,0,0.009554432705558108,6511505965056,0.009554432705558114
permanent_k,1,50,15,710387,6641,703746,703746,127,703619,0,0.009348425576481552,6641380491264,0.009348425576481523
permanent_k,1,50,16,677709,6656,671053,671053,127,670926,0,0.009821324491780395,6332850634752,0.009821324491780414
permanent_k,1,50,17,668368,6656,661712,661712,127,661585,0,0.009958585689320853,6244697899008,0.009958585689320842
permanent_k,1,50,18,696935,6656,690279,690279,127,690152,0,0.009550388486731187,6514289934336,0.009550388486731176
permanent_k,1,50,19,706924,6656,700268,700268,127,700141,0,0.00941543928343075,6608557965312,0.009415439283430804
permanent_k,1,50,20,716192,6656,709536,709536,127,709409,0,0.00929359724766543,6696021786624,0.00929359724766543
permanent_k,1,50,21,701005,6652,694353,694353,127,694226,0,0.009489233315026284,6552737021952,0.009489233315026269
permanent_k,1,50,22,710745,6656,704089,704089,127,703962,0,0.009364821419777838,6644617445376,0.009364821419777791
permanent_k,1,50,23,710831,6548,704283,704283,127,704156,0,0.00921175356730362,6646448259072,0.009211753567303638
permanent_k,1,50,24,702926,6656,696270,696270,127,696143,0,0.009468991045999152,6570828103680,0.009468991045999187
permanent_k,1,50,25,690120,6652,683468,683468,127,683341,0,0.009638903379122472,6450013274112,0.009638903379122432
permanent_k,1,50,26,705241,6655,698586,698586,127,698459,0,0.009436490504664363,6592684621824,0.00943649050466433
permanent_k,1,50,27,714223,6655,707568,707568,127,707441,0,0.00931781810442957,6677449408512,0.009317818104429554
permanent_k,1,50,28,683455,6655,676800,676800,127,676673,0,0.009737290677513517,6387086131200,0.0097372906775135
permanent_k,1,50,29,698769,6651,692118,692118,127,691991,0,0.009518166947875478,6531644915712,0.00951816694787544
permanent_k,1,50,30,698061,6656,691405,691405,127,691278,0,0.009534983332402183,6524916203520,0.009534983332402214
permanent_k,1,50,31,707311,6656,700655,700655,127,700528,0,0.009410287695228831,6612210155520,0.00941028769522878
permanent_k,1,50,32,723102,6656,716446,716446,127,716319,0,0.00920478715312639,6761232728064,0.009204787153126337
permanent_k,1,50,33,711496,6647,704849,704849,127,704722,0,0.009342287237032955,6651789705216,0.009342287237033009
permanent_k,1,50,34,709443,6656,702787,702787,127,702660,0,0.009382008138779296,6632330231808,0.009382008138779319
permanent_k,1,50,35,717922,6651,711271,711271,127,711144,0,0.00926423761912854,6712395300864,0.009264237619128535
permanent_k,1,50,36,707052,6656,700396,700396,127,700269,0,0.00941373477481147,6609765924864,0.009413734774811444
permanent_k,1,50,37,693096,6640,686456,686456,127,686329,0,0.009580202453916917,6478211579904,0.009580202453916886
permanent_k,1,50,38,703325,6650,696675,696675,127,696548,0,0.009455088330430456,6574650163200,0.009455088330430406
permanent_k,1,50,39,708552,6655,701897,701897,127,701770,0,0.009392394630175344,6623931138048,0.009392394630175382
permanent_k,1,50,40,690803,6656,684147,684147,127,684020,0,0.009635163715270489,6456421122048,0.009635163715270512
permanent_k,1,50,41,672413,6654,665759,665759,127,665632,0,0.009895703979548283,6282890182656,0.00989570397954831
permanent_k,1,50,42,663643,6651,656992,656992,126,656866,0,0.010021954574974798,6200154390528,0.01002195457497479
permanent_k,1,50,43,663285,6649,656636,656636,124,656512,0,0.010024348507805845,6196794753024,0.01002434850780587
permanent_k,1,50,44,668264,6650,661614,661614,125,661489,0,0.009951157027761483,6243773054976,0.009951157027761504
permanent_k,1,50,45,660612,6629,653983,653983,127,653856,0,0.01003463455099211,6171757903872,0.010034634550992072
permanent_k,1,50,46,677243,6653,670590,670590,125,670465,0,0.009823652662338334,6328481218560,0.009823652662338311
permanent_k,1,50,47,671844,6651,665193,665193,120,665073,0,0.009899619554539447,6277548736512,0.00989961955453944
quota_lru_k,1,50,0,750647,0,750647,750647,128,750519,750646,0.0,7083993858048,0.0
quota_lru_k,1,50,1,750519,0,750519,750519,128,750391,750518,0.0,7082785898496,0.0
quota_lru_k,1,50,2,695582,0,695582,695582,128,695454,695581,0.0,6564335321088,0.0
quota_lru_k,1,50,3,731407,0,731407,731407,128,731279,731406,0.0,6902422437888,0.0
quota_lru_k,1,50,4,707788,0,707788,707788,128,707660,707787,0.0,6679525588992,0.0
quota_lru_k,1,50,5,713851,0,713851,713851,128,713723,713850,0.0,6736743235584,0.0
quota_lru_k,1,50,6,711032,0,711032,711032,128,710904,711031,0.0,6710139813888,0.0
quota_lru_k,1,50,7,710291,0,710291,710291,128,710163,710290,0.0,6703146860544,0.0
quota_lru_k,1,50,8,731917,0,731917,731917,128,731789,731916,0.0,6907235401728,0.0
quota_lru_k,1,50,9,716962,0,716962,716962,128,716834,716961,0.0,6766102315008,0.0
quota_lru_k,1,50,10,715058,0,715058,715058,128,714930,715057,0.0,6748133916672,0.0
quota_lru_k,1,50,11,723738,0,723738,723738,128,723610,723737,0.0,6830048673792,0.0
quota_lru_k,1,50,12,702847,0,702847,702847,128,702719,702846,0.0,6632896462848,0.0
