policy,k,batch_size,layer_id,accesses,hits,misses,fetches,compulsory_loads,refetches,evictions,admissions,bypasses,hit_rate,h2d_bytes,h2d_reduction_vs_stream2
permanent_k,8,40,8,811106,60932,750174,750174,120,750054,0,0,0,0.07512211720786185,7079530070016,0.07512211720786188
permanent_k,8,40,9,792899,60965,731934,731934,120,731814,0,0,0,0.07688873362181059,6907395833856,0.07688873362181059
permanent_k,8,40,10,790926,60858,730068,730068,120,729948,0,0,0,0.07694525151531244,6889786048512,0.0769452515153124
permanent_k,8,40,11,802109,60895,741214,741214,120,741094,0,0,0,0.07591860956553287,6994972901376,0.07591860956553287
permanent_k,8,40,12,775408,60951,714457,714457,120,714337,0,0,0,0.07860506984709985,6742462169088,0.0786050698470998
permanent_k,8,40,13,765542,60871,704671,704671,120,704551,0,0,0,0.07951359951511477,6650109886464,0.07951359951511483
permanent_k,8,40,14,769261,61150,708111,708111,120,707991,0,0,0,0.07949187596927441,6682573799424,0.07949187596927443
permanent_k,8,40,15,783090,61036,722054,722054,120,721934,0,0,0,0.07794250980091688,6814156455936,0.07794250980091688
permanent_k,8,40,16,751494,61278,690216,690216,120,690096,0,0,0,0.08154156919416522,6513695391744,0.08154156919416522
permanent_k,8,40,17,735616,61271,674345,674345,120,674225,0,0,0,0.08329209805115713,6363917844480,0.08329209805115712
permanent_k,8,40,18,768731,61266,707465,707465,120,707345,0,0,0,0.07969757951741246,6676477378560,0.07969757951741241
permanent_k,8,40,19,780563,61243,719320,719320,120,719200,0,0,0,0.07846003461603997,6788355194880,0.07846003461604001
permanent_k,8,40,20,791661,61222,730439,730439,120,730319,0,0,0,0.07733360617739159,6893287243776,0.0773336061773916
permanent_k,8,40,21,774079,61111,712968,712968,120,712848,0,0,0,0.07894672249214874,6728410202112,0.07894672249214874
permanent_k,8,40,22,785935,60818,725117,725117,120,724997,0,0,0,0.07738298968744235,6843062550528,0.0773829896874424
permanent_k,8,40,23,785459,60843,724616,724616,120,724496,0,0,0,0.07746171346944908,6838334521344,0.07746171346944908
permanent_k,8,40,24,776115,61047,715068,715068,120,714948,0,0,0,0.07865715776656809,6748228288512,0.07865715776656812
permanent_k,8,40,25,761251,61205,700046,700046,120,699926,0,0,0,0.0804005511979623,6606462910464,0.0804005511979623
permanent_k,8,40,26,778850,61176,717674,717674,120,717554,0,0,0,0.07854657507864159,6772821590016,0.0785465750786416
permanent_k,8,40,27,786252,61115,725137,725137,120,725017,0,0,0,0.07772953200754974,6843251294208,0.07772953200754973
permanent_k,8,40,28,756158,61221,694937,694937,120,694817,0,0,0,0.08096323784182671,6558248337408,0.08096323784182669
permanent_k,8,40,29,771640,60893,710747,710747,120,710627,0,0,0,0.07891374215955627,6707450216448,0.07891374215955627
permanent_k,8,40,30,768942,61199,707743,707743,120,707623,0,0,0,0.07958857755201303,6679100915712,0.07958857755201298
permanent_k,8,40,31,779981,61215,718766,718766,120,718646,0,0,0,0.07848268098838306,6783126994944,0.07848268098838307
permanent_k,8,40,32,798364,60927,737437,737437,120,737317,0,0,0,0.07631481379420915,6959328657408,0.07631481379420912
permanent_k,8,40,33,785681,60991,724690,724690,120,724570,0,0,0,0.07762819770364818,6839032872960,0.07762819770364815
permanent_k,8,40,34,783716,60978,722738,722738,120,722618,0,0,0,0.07780624614018343,6820611489792,0.07780624614018339
permanent_k,8,40,35,794747,61062,733685,733685,120,733565,0,0,0,0.07683199810757385,6923920343040,0.0768319981075739
permanent_k,8,40,36,781106,60989,720117,720117,120,719997,0,0,0,0.07808031176306417,6795876630528,0.07808031176306418
permanent_k,8,40,37,768246,61034,707212,707212,120,707092,0,0,0,0.07944590664969294,6674089771008,0.07944590664969298
permanent_k,8,40,38,776922,61189,715733,715733,120,715613,0,0,0,0.07875822798170215,6754504015872,0.07875822798170218
